Hour,Baseline (kWh),New HP
930,3.3181950000000002,2.898096
931,2.164783,1.902239
932,2.660124,2.3718850000000002
933,2.457466,2.152678
934,2.58567,2.285439
935,2.5719160000000003,2.256808
936,2.53138,2.151447
937,2.697025,2.284097
938,2.446022,2.2279780000000002
939,3.12609,2.540916
940,3.076517,2.85237
941,3.4816320000000003,2.844941
942,2.951789,2.781243
943,4.391508,3.802772
944,3.948208,3.400234
945,3.759684,3.194364
946,3.228085,2.756859
947,3.586795,3.027756
948,2.60185,2.220583
949,1.916126,1.599888
950,1.694112,1.430568
951,1.9968800000000002,1.74869
952,1.545851,1.322465
953,1.6377449999999998,1.408787
954,2.03545,1.712276
955,2.403026,2.165109
956,1.975691,1.725875
957,2.450092,2.170391
958,2.486902,2.187421
959,1.93442,1.586684
960,1.789938,1.415037
961,1.972742,1.438607
962,1.7486769999999998,1.363987
963,2.454932,1.832759
964,2.39141,1.903089
965,2.128187,1.5642850000000001
966,2.085379,1.483997
967,3.232583,2.816495
968,2.816679,2.286332
969,3.270416,2.6738470000000003
970,2.784988,2.406745
971,3.395429,2.897893
972,3.4652040000000004,2.609629
973,3.326378,2.879343
974,2.616478,2.257085
975,2.7139810000000004,2.202054
976,3.150171,2.830938
977,2.639881,2.230397
978,4.702996,4.195011
979,2.876006,2.484077
980,2.276419,1.991634
981,3.884524,3.513977
982,2.146607,1.836809
983,2.038269,1.5547929999999999
984,1.730667,1.298894
985,2.2933670000000004,1.703749
986,1.511611,1.099065
987,1.399353,1.001377
988,1.681358,1.35622
989,1.371951,0.990937
990,3.1334920000000004,2.770439
991,6.708795,6.415077
992,3.962918,3.694467
993,4.821555,4.356842
994,2.4918310000000004,2.023361
995,3.985426,3.468992
996,4.422587,3.894091
997,3.199646,2.684142
998,3.43318,2.916401
999,2.840154,2.546027
1000,4.250706,3.551996
1001,4.65889,4.140301
1002,5.669522,5.183903
1003,5.989382,5.477031
1004,5.282532,4.913825
1005,4.438503,3.929538
1006,4.919875,4.502486
1007,6.76997,6.62618
1008,5.420993,4.645263
1009,6.062897,5.551889
1010,5.105945,4.898442
1011,6.435731,5.755048
1012,6.165558,5.848527
1013,6.134416,5.94864
1014,7.915836999999999,7.328591
1015,8.48865,8.512298
1016,8.961756,8.464066
1017,5.975718,5.56562
1018,4.710841,4.180096
1019,5.926969,5.162257
1020,3.70708,3.155669
1021,3.648987,3.148457
1022,2.889965,2.413874
1023,2.636774,2.146631
1024,3.197331,2.812169
1025,2.43645,1.997628
1026,3.0400120000000004,2.571275
1027,3.9803580000000003,3.598028
1028,4.098871,3.703049
1029,4.428108,4.061694
1030,3.342154,2.901589
1031,3.288527,2.8558290000000004
1032,2.957746,2.694285
1033,3.598141,2.9143220000000003
1034,3.072575,2.8269670000000002
1035,3.6979450000000003,3.034787
1036,4.161814,3.5144130000000002
1037,4.155026,3.631991
1038,4.004382,3.548037
1039,5.197493000000001,4.601086
1040,4.968579,4.377862
1041,5.104969,4.226198
1042,4.257818,3.699129
1043,4.326045,3.7652620000000003
1044,3.503138,2.9384430000000004
1045,3.077775,2.55873
